District ,Crop,Crop_Year,Season,Area ,Production
AHMEDNAGAR,Tur,1997,Kharif     ,17600,6300
AHMEDNAGAR,Tur,1998,Kharif     ,18800,9700
AHMEDNAGAR,Tur,1999,Kharif     ,19000,9900
AHMEDNAGAR,Tur,2000,Kharif     ,19100,9400
AHMEDNAGAR,Tur,2001,Kharif     ,16700,5400
AHMEDNAGAR,Tur,2002,Kharif     ,14600,5700
AHMEDNAGAR,Tur,2003,Kharif     ,9000,3000
AHMEDNAGAR,Tur,2004,Kharif     ,12200,4800
AHMEDNAGAR,Tur,2005,Kharif     ,11100,3800
AHMEDNAGAR,Tur,2006,Kharif     ,13000,6600
AHMEDNAGAR,Tur,2007,Kharif     ,14600,7900
AHMEDNAGAR,Tur,2008,Kharif     ,2700,1300
AHMEDNAGAR,Tur,2009,Kharif     ,12100,6200
AHMEDNAGAR,Tur,2010,Kharif     ,17600,11300
AHMEDNAGAR,Tur,2011,Kharif     ,12800,6400
AHMEDNAGAR,Tur,2012,Kharif     ,9500,2200
AHMEDNAGAR,Tur,2013,Kharif     ,11000,9200
AHMEDNAGAR,Tur,2014,Kharif     ,9100,1800
AHMEDNAGAR,Tur,2015,Kharif     ,9300,2200
AHMEDNAGAR,Tur,2016,Kharif     ,21968,22038
AHMEDNAGAR,Tur,2017,Kharif     ,15700,15600
AHMEDNAGAR,Tur,2018,Kharif     ,19058,4757
AHMEDNAGAR,Tur,2019,Kharif     ,19747,9948
AKOLA,Tur,1997,Kharif     ,81200,64400
AKOLA,Tur,1998,Kharif     ,77300,88300
AKOLA,Tur,1999,Kharif     ,46000,58000
AKOLA,Tur,2000,Kharif     ,46400,33100
AKOLA,Tur,2001,Kharif     ,46800,41600
AKOLA,Tur,2002,Kharif     ,46500,42100
AKOLA,Tur,2003,Kharif     ,51000,43500
AKOLA,Tur,2004,Kharif     ,52200,27500
AKOLA,Tur,2005,Kharif     ,56500,41000
AKOLA,Tur,2006,Kharif     ,54600,51300
AKOLA,Tur,2007,Kharif     ,58000,62500
AKOLA,Tur,2008,Kharif     ,49700,15500
AKOLA,Tur,2009,Kharif     ,50900,61100
AKOLA,Tur,2010,Kharif     ,61500,52100
AKOLA,Tur,2011,Kharif     ,62200,22000
AKOLA,Tur,2012,Kharif     ,62500,93100
AKOLA,Tur,2013,Kharif     ,66500,83800
AKOLA,Tur,2014,Kharif     ,50100,19600
AKOLA,Tur,2015,Kharif     ,54300,45100
AKOLA,Tur,2016,Kharif     ,59920,142043
AKOLA,Tur,2017,Kharif     ,58681,59742
AKOLA,Tur,2018,Kharif     ,57074,34547
AKOLA,Tur,2019,Kharif     ,50907,115501
AMRAVATI,Tur,1997,Kharif     ,83400,61300
AMRAVATI,Tur,1998,Kharif     ,86500,85900
AMRAVATI,Tur,1999,Kharif     ,92200,96700
AMRAVATI,Tur,2000,Kharif     ,99600,67300
AMRAVATI,Tur,2001,Kharif     ,95500,83500
AMRAVATI,Tur,2002,Kharif     ,93300,88900
AMRAVATI,Tur,2003,Kharif     ,97500,86300
AMRAVATI,Tur,2004,Kharif     ,90900,70000
AMRAVATI,Tur,2005,Kharif     ,92800,79000
AMRAVATI,Tur,2006,Kharif     ,95400,75500
AMRAVATI,Tur,2007,Kharif     ,84800,90800
AMRAVATI,Tur,2008,Kharif     ,94400,79300
AMRAVATI,Tur,2009,Kharif     ,102100,100500
AMRAVATI,Tur,2010,Kharif     ,119600,62900
AMRAVATI,Tur,2011,Kharif     ,127500,108900
AMRAVATI,Tur,2012,Kharif     ,123800,133100
AMRAVATI,Tur,2013,Kharif     ,96200,133900
AMRAVATI,Tur,2014,Kharif     ,103800,36800
AMRAVATI,Tur,2015,Kharif     ,108200,57600
AMRAVATI,Tur,2016,Kharif     ,122612,146932
AMRAVATI,Tur,2017,Kharif     ,112300,111100
AMRAVATI,Tur,2018,Kharif     ,112813,125540
AMRAVATI,Tur,2019,Kharif     ,110012,90183
AURANGABAD,Tur,1997,Kharif     ,37100,3700
AURANGABAD,Tur,1998,Kharif     ,40800,24400
AURANGABAD,Tur,1999,Kharif     ,42300,17600
AURANGABAD,Tur,2000,Kharif     ,52700,13500
AURANGABAD,Tur,2001,Kharif     ,32700,9100
AURANGABAD,Tur,2002,Kharif     ,40000,11600
AURANGABAD,Tur,2003,Kharif     ,38000,13400
AURANGABAD,Tur,2004,Kharif     ,38700,19000
AURANGABAD,Tur,2005,Kharif     ,41300,25500
AURANGABAD,Tur,2006,Kharif     ,40100,34400
AURANGABAD,Tur,2007,Kharif     ,41400,30200
AURANGABAD,Tur,2008,Kharif     ,27700,17300
AURANGABAD,Tur,2009,Kharif     ,48300,36600
AURANGABAD,Tur,2010,Kharif     ,60800,53400
AURANGABAD,Tur,2011,Kharif     ,36100,28800
AURANGABAD,Tur,2012,Kharif     ,36100,12000
AURANGABAD,Tur,2013,Kharif     ,28600,26800
AURANGABAD,Tur,2014,Kharif     ,32900,8700
AURANGABAD,Tur,2015,Kharif     ,44600,12100
AURANGABAD,Tur,2016,Kharif     ,60725,71469
AURANGABAD,Tur,2017,Kharif     ,63900,52600
AURANGABAD,Tur,2018,Kharif     ,37901,9835
AURANGABAD,Tur,2019,Kharif     ,37808,29059
BEED,Tur,1997,Kharif     ,44200,7200
BEED,Tur,1998,Kharif     ,46100,28400
BEED,Tur,1999,Kharif     ,47800,18100
BEED,Tur,2000,Kharif     ,53400,19200
BEED,Tur,2001,Kharif     ,44300,11200
BEED,Tur,2002,Kharif     ,49100,17200
BEED,Tur,2003,Kharif     ,44900,10100
BEED,Tur,2004,Kharif     ,44300,23900
BEED,Tur,2005,Kharif     ,52100,51600
BEED,Tur,2006,Kharif     ,53200,44800
BEED,Tur,2007,Kharif     ,51100,31800
BEED,Tur,2008,Kharif     ,47800,22600
BEED,Tur,2009,Kharif     ,56100,25600
BEED,Tur,2010,Kharif     ,62400,34100
BEED,Tur,2011,Kharif     ,50200,28800
BEED,Tur,2012,Kharif     ,50200,20300
BEED,Tur,2013,Kharif     ,56400,37700
BEED,Tur,2014,Kharif     ,60600,10200
BEED,Tur,2015,Kharif     ,72300,11700
BEED,Tur,2016,Kharif     ,89190,81624
BEED,Tur,2017,Kharif     ,92600,52200
BEED,Tur,2018,Kharif     ,51121,5609
BEED,Tur,2019,Kharif     ,58598,44228
BHANDARA,Tur,1997,Kharif     ,10200,2700
BHANDARA,Tur,1998,Kharif     ,10100,7600
BHANDARA,Tur,1999,Kharif     ,6100,5400
BHANDARA,Tur,2000,Kharif     ,5600,4300
BHANDARA,Tur,2001,Kharif     ,5700,6100
BHANDARA,Tur,2002,Kharif     ,7100,6300
BHANDARA,Tur,2003,Kharif     ,7300,6900
BHANDARA,Tur,2004,Kharif     ,7200,4400
BHANDARA,Tur,2005,Kharif     ,7300,5700
BHANDARA,Tur,2006,Kharif     ,7900,4500
BHANDARA,Tur,2007,Kharif     ,8700,7400
BHANDARA,Tur,2008,Kharif     ,8100,4700
BHANDARA,Tur,2009,Kharif     ,7700,5400
BHANDARA,Tur,2010,Kharif     ,8800,8300
BHANDARA,Tur,2011,Kharif     ,9200,8000
BHANDARA,Tur,2012,Kharif     ,8900,9500
BHANDARA,Tur,2013,Kharif     ,11300,7100
BHANDARA,Tur,2014,Kharif     ,11600,4000
BHANDARA,Tur,2015,Kharif     ,11500,5200
BHANDARA,Tur,2016,Kharif     ,11824,22988
BHANDARA,Tur,2017,Kharif     ,12305,13120
BHANDARA,Tur,2018,Kharif     ,12865,12743
BHANDARA,Tur,2019,Kharif     ,10414,5207
BULDHANA,Tur,1997,Kharif     ,63000,29700
BULDHANA,Tur,1998,Kharif     ,61600,59200
BULDHANA,Tur,1999,Kharif     ,55700,42300
BULDHANA,Tur,2000,Kharif     ,59100,23900
BULDHANA,Tur,2001,Kharif     ,58300,39200
BULDHANA,Tur,2002,Kharif     ,57400,40900
BULDHANA,Tur,2003,Kharif     ,59500,41400
BULDHANA,Tur,2004,Kharif     ,61600,37900
BULDHANA,Tur,2005,Kharif     ,60800,31200
BULDHANA,Tur,2006,Kharif     ,60300,48600
BULDHANA,Tur,2007,Kharif     ,66300,65900
BULDHANA,Tur,2008,Kharif     ,59600,30300
BULDHANA,Tur,2009,Kharif     ,62100,71700
BULDHANA,Tur,2010,Kharif     ,76800,42500
BULDHANA,Tur,2011,Kharif     ,79500,44100
BULDHANA,Tur,2012,Kharif     ,84100,43900
BULDHANA,Tur,2013,Kharif     ,21100,14800
BULDHANA,Tur,2014,Kharif     ,69600,18500
BULDHANA,Tur,2015,Kharif     ,72600,24200
BULDHANA,Tur,2016,Kharif     ,77864,64484
BULDHANA,Tur,2017,Kharif     ,76195,47788
BULDHANA,Tur,2018,Kharif     ,88381,45400
BULDHANA,Tur,2019,Kharif     ,93099,111274
CHANDRAPUR,Tur,1997,Kharif     ,30300,9700
CHANDRAPUR,Tur,1998,Kharif     ,25200,12200
CHANDRAPUR,Tur,1999,Kharif     ,27400,21200
CHANDRAPUR,Tur,2000,Kharif     ,26900,11400
CHANDRAPUR,Tur,2001,Kharif     ,27400,21700
CHANDRAPUR,Tur,2002,Kharif     ,26800,9100
CHANDRAPUR,Tur,2003,Kharif     ,26400,17400
CHANDRAPUR,Tur,2004,Kharif     ,25400,7500
CHANDRAPUR,Tur,2005,Kharif     ,23400,9000
CHANDRAPUR,Tur,2006,Kharif     ,23400,10500
CHANDRAPUR,Tur,2007,Kharif     ,32600,21500
CHANDRAPUR,Tur,2008,Kharif     ,27900,16900
CHANDRAPUR,Tur,2009,Kharif     ,31400,36600
CHANDRAPUR,Tur,2010,Kharif     ,39600,34100
CHANDRAPUR,Tur,2011,Kharif     ,34700,26000
CHANDRAPUR,Tur,2012,Kharif     ,34700,48400
CHANDRAPUR,Tur,2013,Kharif     ,32600,28500
CHANDRAPUR,Tur,2014,Kharif     ,38200,19800
CHANDRAPUR,Tur,2015,Kharif     ,38700,26200
CHANDRAPUR,Tur,2016,Kharif     ,40143,72902
CHANDRAPUR,Tur,2017,Kharif     ,40431,53949
CHANDRAPUR,Tur,2018,Kharif     ,44322,48875
CHANDRAPUR,Tur,2019,Kharif     ,46520,62586
DHULE,Tur,1997,Kharif     ,29400,18500
DHULE,Tur,1998,Kharif     ,27000,10000
DHULE,Tur,1999,Kharif     ,6900,2500
DHULE,Tur,2000,Kharif     ,6900,2000
DHULE,Tur,2001,Kharif     ,7300,1700
DHULE,Tur,2002,Kharif     ,9200,2700
DHULE,Tur,2003,Kharif     ,9500,3800
DHULE,Tur,2004,Kharif     ,9000,3700
DHULE,Tur,2005,Kharif     ,8800,4500
DHULE,Tur,2006,Kharif     ,8600,5500
DHULE,Tur,2007,Kharif     ,9700,7700
DHULE,Tur,2008,Kharif     ,7900,3700
DHULE,Tur,2009,Kharif     ,7200,4300
DHULE,Tur,2010,Kharif     ,9200,8200
DHULE,Tur,2011,Kharif     ,7500,4400
DHULE,Tur,2012,Kharif     ,8200,4000
DHULE,Tur,2013,Kharif     ,9000,7500
DHULE,Tur,2014,Kharif     ,11600,5200
DHULE,Tur,2015,Kharif     ,15000,5300
DHULE,Tur,2016,Kharif     ,9082,7639
DHULE,Tur,2017,Kharif     ,9900,9300
DHULE,Tur,2018,Kharif     ,11036,4240
DHULE,Tur,2019,Kharif     ,15594,8019
GADCHIROLI,Tur,1997,Kharif     ,2100,600
GADCHIROLI,Tur,1998,Kharif     ,1800,1300
GADCHIROLI,Tur,1999,Kharif     ,1800,1700
GADCHIROLI,Tur,2000,Kharif     ,1600,1200
GADCHIROLI,Tur,2001,Kharif     ,1500,1600
GADCHIROLI,Tur,2002,Kharif     ,1700,1500
GADCHIROLI,Tur,2003,Kharif     ,2300,2200
GADCHIROLI,Tur,2004,Kharif     ,2000,1200
GADCHIROLI,Tur,2005,Kharif     ,2000,1600
GADCHIROLI,Tur,2006,Kharif     ,2100,1200
GADCHIROLI,Tur,2007,Kharif     ,3400,2900
GADCHIROLI,Tur,2008,Kharif     ,4000,2300
GADCHIROLI,Tur,2009,Kharif     ,5000,3500
GADCHIROLI,Tur,2010,Kharif     ,6800,6400
GADCHIROLI,Tur,2011,Kharif     ,6700,5800
GADCHIROLI,Tur,2012,Kharif     ,5800,6200
GADCHIROLI,Tur,2013,Kharif     ,4100,2600
GADCHIROLI,Tur,2014,Kharif     ,4600,1600
GADCHIROLI,Tur,2015,Kharif     ,4600,1800
GADCHIROLI,Tur,2016,Kharif     ,4648,9037
GADCHIROLI,Tur,2017,Kharif     ,5299,5650
GADCHIROLI,Tur,2018,Kharif     ,5409,5358
GADCHIROLI,Tur,2019,Kharif     ,5349,4814
GONDIA,Tur,1999,Kharif     ,4000,3800
GONDIA,Tur,2000,Kharif     ,3900,3000
GONDIA,Tur,2001,Kharif     ,4000,4300
GONDIA,Tur,2002,Kharif     ,4100,3600
GONDIA,Tur,2003,Kharif     ,4400,4200
GONDIA,Tur,2004,Kharif     ,4500,2800
GONDIA,Tur,2005,Kharif     ,5000,3900
GONDIA,Tur,2006,Kharif     ,5100,2900
GONDIA,Tur,2007,Kharif     ,5300,4500
GONDIA,Tur,2008,Kharif     ,5400,3200
GONDIA,Tur,2009,Kharif     ,5400,3800
GONDIA,Tur,2010,Kharif     ,5300,5000
GONDIA,Tur,2011,Kharif     ,6300,5500
GONDIA,Tur,2012,Kharif     ,6200,6600
GONDIA,Tur,2013,Kharif     ,6000,3800
GONDIA,Tur,2014,Kharif     ,6500,2200
GONDIA,Tur,2015,Kharif     ,6500,2900
GONDIA,Tur,2016,Kharif     ,6560,12754
GONDIA,Tur,2017,Kharif     ,6354,6775
GONDIA,Tur,2018,Kharif     ,5751,5696
GONDIA,Tur,2019,Kharif     ,5868,4107
HINGOLI,Tur,1999,Kharif     ,26000,13400
HINGOLI,Tur,2000,Kharif     ,26600,12200
HINGOLI,Tur,2001,Kharif     ,24700,19200
HINGOLI,Tur,2002,Kharif     ,27000,18400
HINGOLI,Tur,2003,Kharif     ,25500,22500
HINGOLI,Tur,2004,Kharif     ,24500,17300
HINGOLI,Tur,2005,Kharif     ,21900,19800
HINGOLI,Tur,2006,Kharif     ,26000,29600
HINGOLI,Tur,2007,Kharif     ,28300,39800
HINGOLI,Tur,2008,Kharif     ,30300,22200
HINGOLI,Tur,2009,Kharif     ,26000,22800
HINGOLI,Tur,2010,Kharif     ,29100,22300
HINGOLI,Tur,2011,Kharif     ,33500,26800
HINGOLI,Tur,2012,Kharif     ,38900,50700
HINGOLI,Tur,2013,Kharif     ,38900,33200
HINGOLI,Tur,2014,Kharif     ,41100,18500
HINGOLI,Tur,2015,Kharif     ,47000,13600
HINGOLI,Tur,2016,Kharif     ,76379,82738
HINGOLI,Tur,2017,Kharif     ,77000,61900
HINGOLI,Tur,2018,Kharif     ,47044,18150
HINGOLI,Tur,2019,Kharif     ,50494,46688
JALGAON,Tur,1997,Kharif     ,24100,7300
JALGAON,Tur,1998,Kharif     ,24400,13900
JALGAON,Tur,1999,Kharif     ,25100,14000
JALGAON,Tur,2000,Kharif     ,25700,8500
JALGAON,Tur,2001,Kharif     ,28400,18000
JALGAON,Tur,2002,Kharif     ,24900,18200
JALGAON,Tur,2003,Kharif     ,25800,18300
JALGAON,Tur,2004,Kharif     ,25900,18400
JALGAON,Tur,2005,Kharif     ,29300,20400
JALGAON,Tur,2006,Kharif     ,31100,23800
JALGAON,Tur,2007,Kharif     ,29900,23200
JALGAON,Tur,2008,Kharif     ,13800,8500
JALGAON,Tur,2009,Kharif     ,14800,10700
JALGAON,Tur,2010,Kharif     ,16000,14300
JALGAON,Tur,2011,Kharif     ,16900,13300
JALGAON,Tur,2012,Kharif     ,18300,11500
JALGAON,Tur,2013,Kharif     ,18400,20400
JALGAON,Tur,2014,Kharif     ,15600,8200
JALGAON,Tur,2015,Kharif     ,15500,7700
JALGAON,Tur,2016,Kharif     ,19764,21387
JALGAON,Tur,2017,Kharif     ,19500,14400
JALGAON,Tur,2018,Kharif     ,20891,10516
JALGAON,Tur,2019,Kharif     ,21751,11066
JALNA,Tur,1997,Kharif     ,37700,5600
JALNA,Tur,1998,Kharif     ,46100,26000
JALNA,Tur,1999,Kharif     ,47200,22200
JALNA,Tur,2000,Kharif     ,45500,18300
JALNA,Tur,2001,Kharif     ,42100,23400
JALNA,Tur,2002,Kharif     ,48000,30300
JALNA,Tur,2003,Kharif     ,47900,19100
JALNA,Tur,2004,Kharif     ,47400,21300
JALNA,Tur,2005,Kharif     ,57700,33800
JALNA,Tur,2006,Kharif     ,55400,48600
JALNA,Tur,2007,Kharif     ,49400,45000
JALNA,Tur,2008,Kharif     ,34500,23200
JALNA,Tur,2009,Kharif     ,47700,40600
JALNA,Tur,2010,Kharif     ,53100,54000
JALNA,Tur,2011,Kharif     ,52700,27700
JALNA,Tur,2012,Kharif     ,46400,10800
JALNA,Tur,2013,Kharif     ,44200,47500
JALNA,Tur,2014,Kharif     ,47200,11900
JALNA,Tur,2015,Kharif     ,46500,10100
JALNA,Tur,2016,Kharif     ,46176,61424
JALNA,Tur,2017,Kharif     ,54400,42600
JALNA,Tur,2018,Kharif     ,54333,19263
JALNA,Tur,2019,Kharif     ,54922,70046
KOLHAPUR,Tur,1997,Kharif     ,3700,900
KOLHAPUR,Tur,1998,Kharif     ,3500,1300
KOLHAPUR,Tur,1999,Kharif     ,2000,800
KOLHAPUR,Tur,2000,Kharif     ,2000,900
KOLHAPUR,Tur,2001,Kharif     ,2400,800
KOLHAPUR,Tur,2002,Kharif     ,2600,1000
KOLHAPUR,Tur,2003,Kharif     ,2800,800
KOLHAPUR,Tur,2004,Kharif     ,3200,1400
KOLHAPUR,Tur,2005,Kharif     ,3100,1100
KOLHAPUR,Tur,2006,Kharif     ,2800,1400
KOLHAPUR,Tur,2007,Kharif     ,2800,1300
KOLHAPUR,Tur,2008,Kharif     ,2400,1100
KOLHAPUR,Tur,2009,Kharif     ,2700,2700
KOLHAPUR,Tur,2010,Kharif     ,2400,800
KOLHAPUR,Tur,2011,Kharif     ,2500,700
KOLHAPUR,Tur,2012,Kharif     ,900,100
KOLHAPUR,Tur,2013,Kharif     ,400,200
KOLHAPUR,Tur,2014,Kharif     ,1500,400
KOLHAPUR,Tur,2015,Kharif     ,1500,200
KOLHAPUR,Tur,2016,Kharif     ,1321,498
KOLHAPUR,Tur,2017,Kharif     ,2000,300
KOLHAPUR,Tur,2018,Kharif     ,1887,2504
KOLHAPUR,Tur,2019,Kharif     ,786,1545
LATUR,Tur,1997,Kharif     ,65000,2800
LATUR,Tur,1998,Kharif     ,66000,71200
LATUR,Tur,1999,Kharif     ,70100,76500
LATUR,Tur,2000,Kharif     ,76400,26500
LATUR,Tur,2001,Kharif     ,72800,48900
LATUR,Tur,2002,Kharif     ,71000,44100
LATUR,Tur,2003,Kharif     ,70800,45200
LATUR,Tur,2004,Kharif     ,70200,57600
LATUR,Tur,2005,Kharif     ,73400,85200
LATUR,Tur,2006,Kharif     ,66300,31800
LATUR,Tur,2007,Kharif     ,73800,88200
LATUR,Tur,2008,Kharif     ,95300,74800
LATUR,Tur,2009,Kharif     ,81700,113200
LATUR,Tur,2010,Kharif     ,88600,103300
LATUR,Tur,2011,Kharif     ,106300,86100
LATUR,Tur,2012,Kharif     ,106300,150000
LATUR,Tur,2013,Kharif     ,112400,156200
LATUR,Tur,2014,Kharif     ,113200,28300
LATUR,Tur,2015,Kharif     ,116200,30900
LATUR,Tur,2016,Kharif     ,126097,432434
LATUR,Tur,2017,Kharif     ,111300,131400
LATUR,Tur,2018,Kharif     ,114087,54420
LATUR,Tur,2019,Kharif     ,108642,132824
NAGPUR,Tur,1997,Kharif     ,51900,2500
NAGPUR,Tur,1998,Kharif     ,51100,35000
NAGPUR,Tur,1999,Kharif     ,51100,46500
NAGPUR,Tur,2000,Kharif     ,48700,30200
NAGPUR,Tur,2001,Kharif     ,50600,56300
NAGPUR,Tur,2002,Kharif     ,50000,26700
NAGPUR,Tur,2003,Kharif     ,51100,32300
NAGPUR,Tur,2004,Kharif     ,52500,28800
NAGPUR,Tur,2005,Kharif     ,52100,36400
NAGPUR,Tur,2006,Kharif     ,52900,33500
NAGPUR,Tur,2007,Kharif     ,55200,41000
NAGPUR,Tur,2008,Kharif     ,57100,29400
NAGPUR,Tur,2009,Kharif     ,51100,47600
NAGPUR,Tur,2010,Kharif     ,61600,51700
NAGPUR,Tur,2011,Kharif     ,56000,44800
NAGPUR,Tur,2012,Kharif     ,55400,40600
